1,31.3,0,0,1,0.95,78,David Mokoena,david.mokoena78@company.co.za,Finance,Engineer,Durban,Intern,2021-11-22 00:00:00.0000000,Active,271,27,9,2024,September,39,100,Account Lockout - Manual,Access,55,Ransomware Awareness 301,Policy,Intermediate,60,15,Smishing,High,SMS-based phishing targeting mobile users.
10,52.1,0,0,1,0.83,61,Ayanda Taylor,ayanda.taylor61@company.co.za,Operations,Engineer,Kimberley,Contractor,2018-03-20 00:00:00.0000000,Active,130,9,5,2024,May,19,83,Phishing Reported - Tracked,Compliance,5,Secure Browsing Advanced,Technical,Beginner,15,97,DDoS,Critical,Overwhelming system resources to cause downtime.
100,55.9,0,0,0,0.3,19,Lwazi Davis,lwazi.davis19@company.co.za,Legal,Manager,Port Elizabeth,Intern,2018-11-20 00:00:00.0000000,Active,9,9,1,2024,January,2,75,Training Completed - Auto,Training,34,Mobile Device Security 301,Compliance,Advanced,20,71,Credential Theft,Medium,Stealing authentication credentials for unauthorized access.
101,70.5,1,0,1,0.4,49,Bongani Brown,bongani.brown49@company.co.za,Procurement,Engineer,Port Elizabeth,Contractor,2021-05-23 00:00:00.0000000,Active,292,18,10,2024,October,42,71,VPN Connection - Manual,Authentication,32,Insider Threat Awareness 201,Policy,Advanced,30,64,Social Engineering,Low,Manipulating individuals into revealing confidential info.
102,75.8,1,0,1,0.84,93,Refilwe Mokoena,refilwe.mokoena93@company.co.za,Compliance,Specialist,Johannesburg,Contractor,2022-10-08 00:00:00.0000000,On Leave,329,24,11,2024,November,47,59,VPN Connection - Auto,Incident,95,Access Control 201,Awareness,Advanced,20,63,Malware,High,Unauthorized software causing damage or disruption.
103,41.8,0,1,0,0.25,93,Refilwe Mokoena,refilwe.mokoena93@company.co.za,Compliance,Specialist,Johannesburg,Contractor,2022-10-08 00:00:00.0000000,On Leave,280,6,10,2024,October,40,70,Phishing Click v3,Training,63,Access Control Refresher,Awareness,Advanced,60,24,SQL Injection,Medium,Injecting malicious SQL queries into input fields.
104,99.3,1,1,0,0.57,108,Palesa Mkhize,palesa.mkhize108@company.co.za,Legal,Engineer,Port Elizabeth,Full-Time,2021-12-21 00:00:00.0000000,Inactive,39,8,2,2024,February,6,98,Failed Login v3,Authentication,86,VPN Usage Refresher,Behavioral,Intermediate,45,7,DDoS,Medium,Overwhelming system resources to cause downtime.
105,30.4,0,0,0,0.16,20,Thabo Brown,thabo.brown20@company.co.za,Operations,Developer,Cape Town,Full-Time,2022-11-18 00:00:00.0000000,On Leave,5,5,1,2024,January,1,59,VPN Connection - Auto,Incident,28,VPN Usage 201,Awareness,Intermediate,90,65,Insider Threat,Low,Threat originating from within the organization.
106,56.1,0,0,0,0.65,62,John Molefi,john.molefi62@company.co.za,Legal,Coordinator,Nelspruit,Full-Time,2020-02-28 00:00:00.0000000,Inactive,338,3,12,2024,December,49,1,Training Completed v3,Authentication,63,Access Control Refresher,Awareness,Advanced,60,3,Malware,Medium,Unauthorized software causing damage or disruption.
107,67.3,0,0,1,0.75,69,Palesa Hadebe,palesa.hadebe69@company.co.za,Compliance,Coordinator,Johannesburg,Part-Time,2021-10-09 00:00:00.0000000,Active,147,26,5,2024,May,21,90,Training Completed v1,Compliance,3,Incident Reporting Advanced,Behavioral,Intermediate,30,65,Insider Threat,Low,Threat originating from within the organization.
